year,month,day,Breed,ward,bite_type,location_type,geographic_area
2020,6,11,BOXER,Scarborough Centre,SEVERE,PUBLIC PROPERTY,M1P
2020,6,14,FRENCH BULLDOG,Toronto-St. Paul's,SEVERE,PARK - LEASH REQUIRED AREA,M5P
2020,6,18,AMER BULLDOG / ROTTWEILER,Etobicoke North,SEVERE,PARK - LEASH REQUIRED AREA,M9R
2020,6,20,LABRADOR RETR / AMER BULLDOG,Scarborough-Agincourt,NON SEVERE,OTHER PRIVATE PROPERTY,M1T
2020,7,20,BELG MALINOIS,Scarborough-Agincourt,SEVERE,PARK - LEASH REQUIRED AREA,M1W
2020,7,23,BELG MALINOIS,Beaches-East York,NON SEVERE,OWNERS PROPERTY,M4C
2020,7,28,COTON DE TULEAR,Toronto-St. Paul's,NON SEVERE,OTHER PRIVATE PROPERTY,M4V
2020,8,1,MASTIFF / CANE CORSO,York South-Weston,SEVERE,OWNERS PROPERTY,M6M
2020,8,14,HOUND,Parkdale-High Park,SEVERE,OTHER PRIVATE PROPERTY,M6K
2020,8,31,ALASKAN HUSKY,Don Valley North,SEVERE,PUBLIC PROPERTY,M2J
2020,8,31,SIBERIAN HUSKY,Don Valley North,SEVERE,PUBLIC PROPERTY,M2J
2020,9,3,LABRADOR RETR / AMER BULLDOG,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,M4K
2020,9,8,AKITA,Scarborough Centre,SEVERE,PUBLIC PROPERTY,M1K
2020,9,13,AMER BULLDOG,Beaches-East York,SEVERE,PARK - LEASH REQUIRED AREA,M4C
2020,9,21,BELG MALINOIS,Toronto-Danforth,NON SEVERE,PUBLIC PROPERTY,M4J
2020,9,23,GERM SHEPHERD,Toronto-St. Paul's,NON SEVERE,OWNERS PROPERTY,M4V
2020,10,20,AMER BULLDOG MIX,Toronto Centre,SEVERE,PARK - LEASH FREE AREA,M5A
2020,11,9,ALASKAN HUSKY / GERM SHEPHERD,Toronto Centre,SEVERE,PUBLIC PROPERTY,M5A
2020,11,10,GERM SHEPHERD / AMER BULLDOG,Beaches-East York,SEVERE,PUBLIC PROPERTY,M4E
2020,11,15,MASTIFF / DOGO ARGENTINO,Scarborough Southwest,SEVERE,OTHER PRIVATE PROPERTY,M1K
2020,12,19,AMER BULLDOG / ROTTWEILER,Don Valley North,NON SEVERE,PUBLIC PROPERTY,M2J
2021,1,24,GERM SHEPHERD,Scarborough-Agincourt,NON SEVERE,PUBLIC PROPERTY,M1V
2021,1,26,AKITA,Etobicoke North,SEVERE,PARK - LEASH REQUIRED AREA,M9R
2021,2,11,CANE CORSO / AMER BULLDOG,Etobicoke-Lakeshore,SEVERE,PUBLIC PROPERTY,M8Z
2021,2,21,GERM SHEPHERD MIX,York Centre,NON SEVERE,PUBLIC PROPERTY,M3H
2021,3,5,AMER BULLDOG MIX,Etobicoke Centre,NON SEVERE,OTHER PRIVATE PROPERTY,M9A
2021,3,18,MASTIFF,Etobicoke Centre,NON SEVERE,OTHER PRIVATE PROPERTY,M9B
2021,4,8,AMER BULLDOG,Toronto-Danforth,SEVERE,OTHER PRIVATE PROPERTY,M4J
2021,5,4,AMER BULLDOG,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,M4J
2021,5,9,DOGO ARGENTINO,York South-Weston,NON SEVERE,OTHER PRIVATE PROPERTY,M6N
2021,5,9,DOGO ARGENTINO,York South-Weston,NON SEVERE,OTHER PRIVATE PROPERTY,M6N
2021,5,11,BOXER,Don Valley East,NOT A BITE,PUBLIC PROPERTY,M3A
2021,5,17,COCKER SPAN,Eglinton-Lawrence,NOT A BITE,OTHER PRIVATE PROPERTY,M6A
2021,6,2,BULLDOG MIX,Don Valley East,NON SEVERE,OWNERS PROPERTY,M3C
2021,6,5,BULLDOG,Etobicoke Centre,NON SEVERE,OTHER PRIVATE PROPERTY,M9R
2021,6,9,GERM SHEPHERD,Scarborough Southwest,SEVERE,OTHER PRIVATE PROPERTY,M1M
2021,6,19,GREAT DANE,Scarborough Centre,NON SEVERE,OTHER PRIVATE PROPERTY,M1R
2021,6,21,CANE CORSO,University-Rosedale,SEVERE,OTHER PRIVATE PROPERTY,M5R
2021,6,27,GERM SHEPHERD,Don Valley East,NON SEVERE,PUBLIC PROPERTY,M3B
2021,7,11,LABRADOR RETR MIX,York Centre,SEVERE,OWNERS PROPERTY,M3H
2021,8,4,BULL TERRIER,Scarborough Southwest,SEVERE,PUBLIC PROPERTY,M1L
2021,8,22,BOXER / CANE CORSO,Scarborough Centre,SEVERE,PARK - LEASH REQUIRED AREA,M1J
2021,8,31,CHOW CHOW,Scarborough North,SEVERE,PUBLIC PROPERTY,M1V
2021,8,31,CHOW CHOW,Scarborough North,SEVERE,PUBLIC PROPERTY,M1V
2021,9,9,BELG MALINOIS,Scarborough Southwest,SEVERE,OTHER PRIVATE PROPERTY,M1L
2021,9,18,GREYHOUND,Toronto-Danforth,SEVERE,OWNERS PROPERTY,M4J
2021,9,20,BOXER / MASTIFF,York Centre,NON SEVERE,PARK - LEASH REQUIRED AREA,M3K
2021,9,24,AMERICAN STAFF / AMER BULLDOG,Davenport,SEVERE,OTHER PRIVATE PROPERTY,M6H
2021,10,6,ROTTWEILER / GERM SHEPHERD,Etobicoke Centre,NOT A BITE,OTHER PRIVATE PROPERTY,M9C
2021,10,7,BOXER,Scarborough North,SEVERE,PUBLIC PROPERTY,M1B
2021,10,7,BULLMASTIFF MIX,Scarborough Southwest,NON SEVERE,PUBLIC PROPERTY,M1N
2021,10,11,BORDER COLLIE / MASTIFF,University-Rosedale,SEVERE,OTHER PRIVATE PROPERTY,M6G
2021,10,27,DOGO ARGENTINO,Beaches-East York,SEVERE,OTHER PRIVATE PROPERTY,M4E
2021,11,13,CHOW CHOW / LABRADOR RETR,Etobicoke Centre,NON SEVERE,PUBLIC PROPERTY,M9A
2021,12,2,AKITA,University-Rosedale,SEVERE,OTHER PRIVATE PROPERTY,M4Y
2021,12,21,MASTIFF,Eglinton-Lawrence,VERY SEVERE,PUBLIC PROPERTY,M6B
2021,12,21,MASTIFF,Eglinton-Lawrence,SEVERE,PUBLIC PROPERTY,M6B
2022,1,12,DOGO ARGENTINO,Scarborough-Agincourt,SEVERE,OTHER PRIVATE PROPERTY,M1S
2022,1,13,GERM SHEPHERD,Willowdale,NON SEVERE,PUBLIC PROPERTY,M2N
2022,1,19,LABRADOR RETR / BOSTON TERRIER,Toronto-Danforth,SEVERE,PARK - LEASH REQUIRED AREA,M4L
2022,1,26,ROTTWEILER / LABRADOR RETR,Don Valley East,NON SEVERE,PARK - LEASH FREE AREA,M4A
2022,2,2,BELG MALINOIS,Etobicoke Centre,SEVERE,OTHER PRIVATE PROPERTY,M9R
2022,2,10,BORDER COLLIE / LABRADOR RETR,Humber River-Black Creek,NON SEVERE,PUBLIC PROPERTY,M9M
2022,2,20,GERM SHEPHERD / LABRADOR RETR,Beaches-East York,NOT A BITE,OTHER PRIVATE PROPERTY,M4C
2022,3,15,AKITA,Spadina-Fort York,NON SEVERE,PUBLIC PROPERTY,M5J
2022,3,18,AMER BULLDOG,Humber River-Black Creek,NON SEVERE,PUBLIC PROPERTY,M3J
2022,3,20,AUST SHEPHERD,Willowdale,SEVERE,PUBLIC PROPERTY,M2K
2022,4,23,SIBERIAN HUSKY,University-Rosedale,NON SEVERE,PUBLIC PROPERTY,M4W
2022,4,25,CAROLINA DOG MIX,Toronto-St. Paul's,SEVERE,OTHER PRIVATE PROPERTY,M4T
2022,5,9,DOGO ARGENTINO / AMER BULLDOG,Eglinton-Lawrence,VERY SEVERE,PUBLIC PROPERTY,M6A
